"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2022","40,910.0","41,132.0","41,397.9","40,551.4","1.52B","-0.50%"
"Mar 16, 2022","41,115.5","39,309.4","41,700.0","38,951.0","3.55B","4.67%"
"Mar 15, 2022","39,280.3","39,678.3","39,850.9","38,236.9","1.80B","-0.99%"
"Mar 14, 2022","39,671.4","37,778.5","39,913.8","37,617.6","1.82B","4.97%"
"Mar 13, 2022","37,793.6","38,798.5","39,270.0","37,607.3","1.27B","-2.63%"
"Mar 12, 2022","38,815.4","38,691.7","39,358.1","38,665.5","939.49M","0.22%"
"Mar 11, 2022","38,729.6","39,419.7","40,175.9","38,234.4","2.31B","-1.73%"
"Mar 10, 2022","39,411.8","41,944.4","42,022.5","38,604.5","2.85B","-6.00%"
"Mar 09, 2022","41,926.1","38,703.9","42,528.1","38,663.3","2.80B","8.26%"
"Mar 08, 2022","38,727.3","38,021.3","39,348.5","37,889.1","2.15B","1.85%"
"Mar 07, 2022","38,025.2","38,446.0","39,531.3","37,184.7","2.45B","-1.03%"
"Mar 06, 2022","38,420.8","39,393.6","39,666.6","38,112.2","1.54B","-2.47%"
"Mar 05, 2022","39,394.3","39,142.5","39,598.9","38,627.4","1.19B","0.65%"
"Mar 04, 2022","39,140.5","42,442.9","42,520.4","38,600.0","2.53B","-7.81%"
"Mar 03, 2022","42,458.5","43,903.9","44,078.7","41,848.3","2.19B","-3.29%"
"Mar 02, 2022","43,901.7","44,450.9","45,298.4","43,340.6","2.55B","-1.15%"
"Mar 01, 2022","44,412.5","43,204.3","44,884.4","42,853.7","2.70B","2.88%"
"Feb 28, 2022","43,169.3","37,700.0","44,046.9","37,452.2","2.98B","14.59%"
"Feb 27, 2022","37,674.2","39,094.6","39,838.2","37,038.5","1.78B","-3.69%"
"Feb 26, 2022","39,116.7","39,220.0","40,088.7","38,627.0","1.15B","-0.22%"
"Feb 25, 2022","39,203.4","38,336.3","39,683.5","38,031.2","2.20B","2.30%"
"Feb 24, 2022","38,322.1","37,248.5","39,578.1","34,350.0","4.34B","2.98%"
"Feb 23, 2022","37,212.9","38,273.3","39,192.9","37,067.8","1.67B","-2.68%"
"Feb 22, 2022","38,239.2","37,066.2","38,414.2","36,395.2","2.01B","3.32%"
"Feb 21, 2022","37,008.8","38,383.7","39,455.6","36,857.1","2.38B","-3.47%"
"Feb 20, 2022","38,340.5","40,077.6","40,115.6","38,036.8","1.29B","-4.33%"
"Feb 19, 2022","40,077.1","39,978.6","40,428.8","39,656.4","721.96M","0.22%"
"Feb 18, 2022","39,989.9","40,519.4","40,926.6","39,506.9","1.77B","-1.38%"
"Feb 17, 2022","40,550.9","43,870.2","44,159.2","40,087.8","1.99B","-7.59%"
"Feb 16, 2022","43,881.7","44,485.9","44,485.9","43,371.4","1.25B","-1.49%"
"Feb 15, 2022","44,544.9","42,568.6","44,729.4","42,451.7","1.67B","4.72%"
"Feb 14, 2022","42,535.6","42,082.5","42,800.0","41,582.6","1.44B","1.12%"
"Feb 13, 2022","42,062.9","42,197.8","42,716.9","41,870.0","750.53M","-0.31%"
"Feb 12, 2022","42,194.5","42,376.1","42,998.9","41,735.9","1.12B","-0.45%"
"Feb 11, 2022","42,385.3","43,486.9","43,901.3","42,017.4","1.94B","-2.59%"
"Feb 10, 2022","43,512.3","44,385.6","45,757.2","43,224.1","2.77B","-1.94%"
"Feb 09, 2022","44,375.0","44,074.0","44,780.6","43,146.8","1.51B","0.79%"
"Feb 08, 2022","44,027.0","43,862.2","45,400.0","42,689.6","2.85B","0.46%"
"Feb 07, 2022","43,825.7","42,425.5","44,460.5","41,658.4","2.20B","3.41%"
"Feb 06, 2022","42,379.0","41,398.8","42,628.3","41,173.3","934.17M","2.38%"
"Feb 05, 2022","41,394.7","41,558.6","41,900.0","40,961.9","1.35B","-0.41%"
"Feb 04, 2022","41,563.6","37,320.6","41,693.1","37,027.1","2.53B","11.48%"
"Feb 03, 2022","37,282.8","36,898.7","37,309.9","36,288.7","1.18B","1.11%"
"Feb 02, 2022","36,872.1","38,729.8","38,844.8","36,671.7","1.35B","-4.72%"
"Feb 01, 2022","38,699.5","38,465.2","39,228.7","38,026.8","1.33B","0.57%"
"Jan 31, 2022","38,480.9","37,905.5","38,723.9","36,660.3","1.39B","1.49%"
"Jan 30, 2022","37,917.7","38,163.9","38,314.9","37,381.7","812.75M","-0.65%"
"Jan 29, 2022","38,167.1","37,718.5","38,683.3","37,344.5","989.65M","1.16%"
"Jan 28, 2022","37,728.8","37,132.0","37,990.0","36,169.1","1.56B","1.45%"
"Jan 27, 2022","37,188.0","36,780.3","37,207.0","35,528.7","1.93B","1.09%"
"Jan 26, 2022","36,786.7","36,968.2","38,871.6","36,252.0","2.63B","-0.44%"
"Jan 25, 2022","36,948.8","36,675.9","37,486.7","35,717.9","1.80B","0.72%"
"Jan 24, 2022","36,683.0","36,229.0","37,395.6","32,968.9","3.19B","1.18%"
"Jan 23, 2022","36,255.1","35,059.3","36,498.5","34,643.7","1.57B","3.38%"
"Jan 22, 2022","35,069.2","36,446.6","36,723.9","34,107.7","3.21B","-3.85%"
"Jan 21, 2022","36,473.9","40,700.0","41,098.7","35,511.2","3.41B","-10.43%"
"Jan 20, 2022","40,720.0","41,671.7","43,488.6","40,570.4","1.78B","-2.31%"
"Jan 19, 2022","41,681.2","42,389.9","42,546.6","41,160.0","1.33B","-1.60%"
"Jan 18, 2022","42,358.5","42,226.7","42,676.6","41,298.9","1.23B","0.36%"
"Jan 17, 2022","42,205.2","43,081.1","43,172.6","41,552.0","1.17B","-2.01%"
"Jan 16, 2022","43,072.3","43,085.0","43,454.0","42,643.8","887.20M","-0.01%"
"Jan 15, 2022","43,078.4","43,075.7","43,767.7","42,582.6","946.49M","0.03%"
"Jan 14, 2022","43,063.6","42,573.8","43,425.0","41,846.3","1.39B","1.20%"
"Jan 13, 2022","42,554.0","43,897.2","44,384.5","42,336.5","1.52B","-3.04%"
"Jan 12, 2022","43,888.9","42,699.4","44,236.9","42,470.0","1.47B","2.72%"
"Jan 11, 2022","42,725.0","41,828.2","43,083.9","41,288.1","1.57B","2.14%"
"Jan 10, 2022","41,830.3","41,842.5","42,236.7","39,692.1","2.09B","-0.03%"
"Jan 09, 2022","41,841.9","41,679.7","42,755.6","41,260.0","952.83M","0.43%"
"Jan 08, 2022","41,664.8","41,620.4","42,297.8","40,572.5","1.37B","0.27%"
"Jan 07, 2022","41,551.1","43,111.8","43,133.0","40,859.1","2.29B","-3.60%"
"Jan 06, 2022","43,103.1","43,438.7","43,771.8","42,478.2","1.68B","-0.73%"
"Jan 05, 2022","43,421.3","45,884.5","47,029.6","42,543.1","2.33B","-5.28%"
"Jan 04, 2022","45,841.1","46,473.5","47,501.0","45,605.9","1.65B","-1.26%"
"Jan 03, 2022","46,425.2","47,263.2","47,550.0","45,696.1","1.29B","-1.82%"
"Jan 02, 2022","47,288.0","47,719.6","47,941.0","46,726.2","866.61M","-0.94%"
"Jan 01, 2022","47,738.6","46,220.8","47,911.6","46,220.8","924.16M","3.28%"
"Dec 31, 2021","46,224.4","47,080.0","48,538.6","45,706.5","1.65B","-1.90%"
"Dec 30, 2021","47,120.9","46,492.4","47,888.4","46,000.0","1.43B","1.40%"
"Dec 29, 2021","46,471.1","47,589.7","48,119.3","46,132.6","1.87B","-2.27%"
"Dec 28, 2021","47,549.7","50,658.6","50,671.9","47,350.0","2.24B","-6.21%"
"Dec 27, 2021","50,700.0","50,774.6","52,008.2","50,449.0","1.47B","-0.15%"
"Dec 26, 2021","50,774.6","50,394.1","51,243.5","49,522.8","1.13B","0.76%"
"Dec 25, 2021","50,393.8","50,821.3","51,133.8","50,186.9","971.49M","-0.74%"
"Dec 24, 2021","50,768.8","50,842.0","51,778.9","50,408.0","1.62B","-0.05%"
"Dec 23, 2021","50,791.7","48,596.3","51,340.6","48,047.9","1.74B","4.52%"
"Dec 22, 2021","48,593.0","48,885.4","49,530.8","48,446.2","1.32B","-0.61%"
"Dec 21, 2021","48,892.3","46,970.2","49,295.0","46,650.1","1.83B","4.29%"
"Dec 20, 2021","46,881.4","46,669.3","47,482.4","45,571.1","1.66B","0.37%"
"Dec 19, 2021","46,706.4","46,829.3","48,261.9","46,428.4","1.38B","-0.31%"
"Dec 18, 2021","46,851.6","46,149.5","47,317.9","45,505.1","1.17B","1.47%"
"Dec 17, 2021","46,171.2","47,625.0","47,993.3","45,524.6","2.02B","-3.05%"
"Dec 16, 2021","47,625.0","48,881.0","49,363.2","47,540.9","1.55B","-2.54%"
"Dec 15, 2021","48,865.0","48,350.0","49,469.7","46,567.6","2.49B","1.05%"
"Dec 14, 2021","48,356.8","46,716.4","48,622.7","46,333.1","1.89B","3.57%"
"Dec 13, 2021","46,690.0","50,047.8","50,183.7","45,843.6","2.42B","-6.74%"
"Dec 12, 2021","50,066.7","49,399.9","50,771.4","48,664.8","1.29B","1.58%"
"Dec 11, 2021","49,286.6","47,127.4","49,474.0","46,812.4","1.40B","4.62%"
"Dec 10, 2021","47,110.1","47,536.3","49,955.9","47,000.0","2.14B","-1.03%"
"Dec 09, 2021","47,598.6","50,478.8","50,777.0","47,333.8","1.84B","-5.67%"
"Dec 08, 2021","50,457.9","50,584.7","51,194.4","48,694.9","1.93B","-0.24%"
"Dec 07, 2021","50,581.2","50,467.9","51,891.6","50,059.2","1.95B","0.06%"
"Dec 06, 2021","50,551.8","49,406.7","50,882.5","47,216.6","2.85B","2.39%"
"Dec 05, 2021","49,370.0","49,189.8","49,657.1","47,769.0","2.23B","0.42%"
"Dec 04, 2021","49,165.0","53,608.8","53,833.8","42,567.3","5.50B","-8.26%"
"Dec 03, 2021","53,593.2","56,498.4","57,529.7","51,993.8","3.25B","-5.12%"
"Dec 02, 2021","56,483.7","57,161.7","57,363.2","55,791.6","2.13B","-1.25%"
"Dec 01, 2021","57,197.7","56,969.2","59,049.4","56,500.0","2.58B","0.59%"
"Nov 30, 2021","56,864.4","57,781.1","59,155.1","55,940.3","2.82B","-1.58%"
"Nov 29, 2021","57,774.5","57,352.0","58,838.0","56,707.2","2.31B","0.87%"
"Nov 28, 2021","57,275.4","54,658.3","57,373.2","53,432.3","1.98B","4.61%"
"Nov 27, 2021","54,750.0","53,810.8","55,259.7","53,638.2","1.62B","1.91%"
"Nov 26, 2021","53,726.1","58,961.6","59,135.3","53,522.6","3.65B","-8.82%"
"Nov 25, 2021","58,920.0","57,174.1","59,374.0","57,020.6","2.46B","3.07%"
"Nov 24, 2021","57,164.6","57,549.2","57,716.7","55,900.0","2.25B","-0.71%"
"Nov 23, 2021","57,570.8","56,245.6","57,850.0","55,559.1","2.84B","2.24%"
"Nov 22, 2021","56,311.0","58,670.4","59,257.8","55,640.7","2.97B","-4.09%"
"Nov 21, 2021","58,711.9","59,726.9","59,988.5","58,515.6","1.89B","-1.67%"
"Nov 20, 2021","59,706.0","58,057.8","59,842.8","57,430.5","1.98B","2.83%"
"Nov 19, 2021","58,061.6","56,978.7","58,304.9","55,610.2","2.90B","2.03%"
"Nov 18, 2021","56,908.4","60,344.9","60,930.3","56,511.0","3.65B","-5.74%"
"Nov 17, 2021","60,375.4","60,052.1","60,808.4","58,533.2","2.77B","0.52%"
"Nov 16, 2021","60,064.7","63,606.7","63,606.7","58,610.5","4.71B","-5.55%"
"Nov 15, 2021","63,594.0","65,677.4","66,304.3","63,443.7","2.46B","-2.93%"
"Nov 14, 2021","65,512.1","64,404.4","65,512.1","63,606.6","1.66B","1.73%"
"Nov 13, 2021","64,395.7","64,163.4","64,905.2","63,373.4","1.44B","0.42%"
"Nov 12, 2021","64,128.4","64,749.0","65,446.4","62,306.5","2.84B","-1.00%"
"Nov 11, 2021","64,774.3","64,846.9","65,588.0","64,116.0","2.42B","-0.22%"
"Nov 10, 2021","64,920.0","66,972.5","69,000.0","62,964.1","4.34B","-3.02%"
"Nov 09, 2021","66,943.0","67,531.3","68,493.0","66,323.9","3.01B","-0.85%"
"Nov 08, 2021","67,520.0","63,354.9","67,784.8","63,338.5","3.58B","6.72%"
"Nov 07, 2021","63,267.1","61,477.8","63,267.1","61,328.0","1.59B","2.93%"
"Nov 06, 2021","61,468.7","60,944.0","61,523.5","60,079.4","1.56B","0.84%"
"Nov 05, 2021","60,957.5","61,409.9","62,546.7","60,730.0","1.95B","-0.72%"
"Nov 04, 2021","61,400.7","62,896.5","63,070.8","60,733.0","2.22B","-2.40%"
"Nov 03, 2021","62,912.0","63,230.0","63,493.0","60,930.6","2.72B","-0.47%"
"Nov 02, 2021","63,207.0","60,909.8","64,250.8","60,639.8","2.91B","3.79%"
"Nov 01, 2021","60,900.6","61,317.3","62,416.4","59,613.0","2.74B","-0.65%"
"Oct 31, 2021","61,300.4","61,911.6","62,390.1","60,000.0","2.40B","-0.86%"
"Oct 30, 2021","61,830.1","62,251.8","62,334.6","60,773.5","1.94B","-0.65%"
